x t u
0.010000 0.010000 0.031333
0.013278 0.010000 0.041582
0.016555 0.010000 0.051813
0.019833 0.010000 0.062023
0.023110 0.010000 0.072206
0.026388 0.010000 0.082358
0.029666 0.010000 0.092476
0.032943 0.010000 0.102554
0.036221 0.010000 0.112588
0.039498 0.010000 0.122575
0.042776 0.010000 0.132510
0.046054 0.010000 0.142389
0.049331 0.010000 0.152208
0.052609 0.010000 0.161962
0.055886 0.010000 0.171647
0.059164 0.010000 0.181259
0.062441 0.010000 0.190795
0.065719 0.010000 0.200249
0.068997 0.010000 0.209619
0.072274 0.010000 0.218900
0.075552 0.010000 0.228088
0.078829 0.010000 0.237179
0.082107 0.010000 0.246169
0.085385 0.010000 0.255056
0.088662 0.010000 0.263834
0.091940 0.010000 0.272500
0.095217 0.010000 0.281051
0.098495 0.010000 0.289482
0.101773 0.010000 0.297791
0.105050 0.010000 0.305973
0.108328 0.010000 0.314026
0.111605 0.010000 0.321945
0.114883 0.010000 0.329728
0.118161 0.010000 0.337371
0.121438 0.010000 0.344871
0.124716 0.010000 0.352225
0.127993 0.010000 0.359429
0.131271 0.010000 0.366481
0.134548 0.010000 0.373378
0.137826 0.010000 0.380116
0.141104 0.010000 0.386693
0.144381 0.010000 0.393106
0.147659 0.010000 0.399352
0.150936 0.010000 0.405429
0.154214 0.010000 0.411334
0.157492 0.010000 0.417065
0.160769 0.010000 0.422618
0.164047 0.010000 0.427993
0.167324 0.010000 0.433186
0.170602 0.010000 0.438195
0.173880 0.010000 0.443018
0.177157 0.010000 0.447654
0.180435 0.010000 0.452100
0.183712 0.010000 0.456353
0.186990 0.010000 0.460414
0.190268 0.010000 0.464279
0.193545 0.010000 0.467947
0.196823 0.010000 0.471417
0.200100 0.010000 0.474687
0.203378 0.010000 0.477756
0.206656 0.010000 0.480622
0.209933 0.010000 0.483284
0.213211 0.010000 0.485741
0.216488 0.010000 0.487992
0.219766 0.010000 0.490036
0.223043 0.010000 0.491873
0.226321 0.010000 0.493501
0.229599 0.010000 0.494919
0.232876 0.010000 0.496128
0.236154 0.010000 0.497126
0.239431 0.010000 0.497914
0.242709 0.010000 0.498490
0.245987 0.010000 0.498855
0.249264 0.010000 0.499008
0.252542 0.010000 0.498950
0.255819 0.010000 0.498680
0.259097 0.010000 0.498198
0.262375 0.010000 0.497506
0.265652 0.010000 0.496602
0.268930 0.010000 0.495488
0.272207 0.010000 0.494163
0.275485 0.010000 0.492630
0.278763 0.010000 0.490887
0.282040 0.010000 0.488936
0.285318 0.010000 0.486777
0.288595 0.010000 0.484412
0.291873 0.010000 0.481842
0.295151 0.010000 0.479068
0.298428 0.010000 0.476090
0.301706 0.010000 0.472910
0.304983 0.010000 0.469530
0.308261 0.010000 0.465950
0.311538 0.010000 0.462174
0.314816 0.010000 0.458201
0.318094 0.010000 0.454033
0.321371 0.010000 0.449673
0.324649 0.010000 0.445123
0.327926 0.010000 0.440384
0.331204 0.010000 0.435458
0.334482 0.010000 0.430347
0.337759 0.010000 0.425054
0.341037 0.010000 0.419580
0.344314 0.010000 0.413929
0.347592 0.010000 0.408102
0.350870 0.010000 0.402102
0.354147 0.010000 0.395931
0.357425 0.010000 0.389593
0.360702 0.010000 0.383089
0.363980 0.010000 0.376423
0.367258 0.010000 0.369597
0.370535 0.010000 0.362614
0.373813 0.010000 0.355478
0.377090 0.010000 0.348191
0.380368 0.010000 0.340756
0.383645 0.010000 0.333177
0.386923 0.010000 0.325457
0.390201 0.010000 0.317598
0.393478 0.010000 0.309605
0.396756 0.010000 0.301480
0.400033 0.010000 0.293228
0.403311 0.010000 0.284851
0.406589 0.010000 0.276354
0.409866 0.010000 0.267739
0.413144 0.010000 0.259010
0.416421 0.010000 0.250172
0.419699 0.010000 0.241228
0.422977 0.010000 0.232182
0.426254 0.010000 0.223037
0.429532 0.010000 0.213797
0.432809 0.010000 0.204467
0.436087 0.010000 0.195050
0.439365 0.010000 0.185550
0.442642 0.010000 0.175972
0.445920 0.010000 0.166319
0.449197 0.010000 0.156595
0.452475 0.010000 0.146805
0.455753 0.010000 0.136953
0.459030 0.010000 0.127043
0.462308 0.010000 0.117079
0.465585 0.010000 0.107065
0.468863 0.010000 0.097006
0.472140 0.010000 0.086905
0.475418 0.010000 0.076768
0.478696 0.010000 0.066598
0.481973 0.010000 0.056400
0.485251 0.010000 0.046178
0.488528 0.010000 0.035937
0.491806 0.010000 0.025680
0.495084 0.010000 0.015412
0.498361 0.010000 0.005138
0.501639 0.010000 -0.005138
0.504916 0.010000 -0.015412
0.508194 0.010000 -0.025680
0.511472 0.010000 -0.035937
0.514749 0.010000 -0.046178
0.518027 0.010000 -0.056400
0.521304 0.010000 -0.066598
0.524582 0.010000 -0.076768
0.527860 0.010000 -0.086905
0.531137 0.010000 -0.097006
0.534415 0.010000 -0.107065
0.537692 0.010000 -0.117079
0.540970 0.010000 -0.127043
0.544247 0.010000 -0.136953
0.547525 0.010000 -0.146805
0.550803 0.010000 -0.156595
0.554080 0.010000 -0.166319
0.557358 0.010000 -0.175972
0.560635 0.010000 -0.185550
0.563913 0.010000 -0.195050
0.567191 0.010000 -0.204467
0.570468 0.010000 -0.213797
0.573746 0.010000 -0.223037
0.577023 0.010000 -0.232182
0.580301 0.010000 -0.241228
0.583579 0.010000 -0.250172
0.586856 0.010000 -0.259010
0.590134 0.010000 -0.267739
0.593411 0.010000 -0.276354
0.596689 0.010000 -0.284851
0.599967 0.010000 -0.293228
0.603244 0.010000 -0.301480
0.606522 0.010000 -0.309605
0.609799 0.010000 -0.317598
0.613077 0.010000 -0.325457
0.616355 0.010000 -0.333177
0.619632 0.010000 -0.340756
0.622910 0.010000 -0.348191
0.626187 0.010000 -0.355478
0.629465 0.010000 -0.362614
0.632742 0.010000 -0.369597
0.636020 0.010000 -0.376423
0.639298 0.010000 -0.383089
0.642575 0.010000 -0.389593
0.645853 0.010000 -0.395931
0.649130 0.010000 -0.402102
0.652408 0.010000 -0.408102
0.655686 0.010000 -0.413929
0.658963 0.010000 -0.419580
0.662241 0.010000 -0.425054
0.665518 0.010000 -0.430347
0.668796 0.010000 -0.435458
0.672074 0.010000 -0.440384
0.675351 0.010000 -0.445123
0.678629 0.010000 -0.449673
0.681906 0.010000 -0.454033
0.685184 0.010000 -0.458201
0.688462 0.010000 -0.462174
0.691739 0.010000 -0.465950
0.695017 0.010000 -0.469530
0.698294 0.010000 -0.472910
0.701572 0.010000 -0.476090
0.704849 0.010000 -0.479068
0.708127 0.010000 -0.481842
0.711405 0.010000 -0.484412
0.714682 0.010000 -0.486777
0.717960 0.010000 -0.488936
0.721237 0.010000 -0.490887
0.724515 0.010000 -0.492630
0.727793 0.010000 -0.494163
0.731070 0.010000 -0.495488
0.734348 0.010000 -0.496602
0.737625 0.010000 -0.497506
0.740903 0.010000 -0.498198
0.744181 0.010000 -0.498680
0.747458 0.010000 -0.498950
0.750736 0.010000 -0.499008
0.754013 0.010000 -0.498855
0.757291 0.010000 -0.498490
0.760569 0.010000 -0.497914
0.763846 0.010000 -0.497126
0.767124 0.010000 -0.496128
0.770401 0.010000 -0.494919
0.773679 0.010000 -0.493501
0.776957 0.010000 -0.491873
0.780234 0.010000 -0.490036
0.783512 0.010000 -0.487992
0.786789 0.010000 -0.485741
0.790067 0.010000 -0.483284
0.793344 0.010000 -0.480622
0.796622 0.010000 -0.477756
0.799900 0.010000 -0.474687
0.803177 0.010000 -0.471417
0.806455 0.010000 -0.467947
0.809732 0.010000 -0.464279
0.813010 0.010000 -0.460414
0.816288 0.010000 -0.456353
0.819565 0.010000 -0.452100
0.822843 0.010000 -0.447654
0.826120 0.010000 -0.443018
0.829398 0.010000 -0.438195
0.832676 0.010000 -0.433186
0.835953 0.010000 -0.427993
0.839231 0.010000 -0.422618
0.842508 0.010000 -0.417065
0.845786 0.010000 -0.411334
0.849064 0.010000 -0.405429
0.852341 0.010000 -0.399352
0.855619 0.010000 -0.393106
0.858896 0.010000 -0.386693
0.862174 0.010000 -0.380116
0.865452 0.010000 -0.373378
0.868729 0.010000 -0.366481
0.872007 0.010000 -0.359429
0.875284 0.010000 -0.352225
0.878562 0.010000 -0.344871
0.881839 0.010000 -0.337371
0.885117 0.010000 -0.329728
0.888395 0.010000 -0.321945
0.891672 0.010000 -0.314026
0.894950 0.010000 -0.305973
0.898227 0.010000 -0.297791
0.901505 0.010000 -0.289482
0.904783 0.010000 -0.281051
0.908060 0.010000 -0.272500
0.911338 0.010000 -0.263834
0.914615 0.010000 -0.255056
0.917893 0.010000 -0.246169
0.921171 0.010000 -0.237179
0.924448 0.010000 -0.228088
0.927726 0.010000 -0.218900
0.931003 0.010000 -0.209619
0.934281 0.010000 -0.200249
0.937559 0.010000 -0.190795
0.940836 0.010000 -0.181259
0.944114 0.010000 -0.171647
0.947391 0.010000 -0.161962
0.950669 0.010000 -0.152208
0.953946 0.010000 -0.142389
0.957224 0.010000 -0.132510
0.960502 0.010000 -0.122575
0.963779 0.010000 -0.112588
0.967057 0.010000 -0.102554
0.970334 0.010000 -0.092476
0.973612 0.010000 -0.082358
0.976890 0.010000 -0.072206
0.980167 0.010000 -0.062023
0.983445 0.010000 -0.051813
0.986722 0.010000 -0.041582
0.990000 0.010000 -0.031333
0.010000 0.013103 0.031289
0.013278 0.013103 0.041523
0.016555 0.013103 0.051740
0.019833 0.013103 0.061935
0.023110 0.013103 0.072103
0.026388 0.013103 0.082241
0.029666 0.013103 0.092344
0.032943 0.013103 0.102408
0.036221 0.013103 0.112429
0.039498 0.013103 0.122402
0.042776 0.013103 0.132323
0.046054 0.013103 0.142187
0.049331 0.013103 0.151992
0.052609 0.013103 0.161732
0.055886 0.013103 0.171403
0.059164 0.013103 0.181002
0.062441 0.013103 0.190524
0.065719 0.013103 0.199965
0.068997 0.013103 0.209322
0.072274 0.013103 0.218590
0.075552 0.013103 0.227764
0.078829 0.013103 0.236843
0.082107 0.013103 0.245821
0.085385 0.013103 0.254694
0.088662 0.013103 0.263460
0.091940 0.013103 0.272114
0.095217 0.013103 0.280652
0.098495 0.013103 0.289072
0.101773 0.013103 0.297369
0.105050 0.013103 0.305540
0.108328 0.013103 0.313581
0.111605 0.013103 0.321489
0.114883 0.013103 0.329261
0.118161 0.013103 0.336893
0.121438 0.013103 0.344383
0.124716 0.013103 0.351726
0.127993 0.013103 0.358920
0.131271 0.013103 0.365962
0.134548 0.013103 0.372849
0.137826 0.013103 0.379577
0.141104 0.013103 0.386145
0.144381 0.013103 0.392549
0.147659 0.013103 0.398786
0.150936 0.013103 0.404855
0.154214 0.013103 0.410751
0.157492 0.013103 0.416474
0.160769 0.013103 0.422020
0.164047 0.013103 0.427386
0.167324 0.013103 0.432572
0.170602 0.013103 0.437574
0.173880 0.013103 0.442391
0.177157 0.013103 0.447020
0.180435 0.013103 0.451459
0.183712 0.013103 0.455707
0.186990 0.013103 0.459762
0.190268 0.013103 0.463621
0.193545 0.013103 0.467284
0.196823 0.013103 0.470749
0.200100 0.013103 0.474014
0.203378 0.013103 0.477079
0.206656 0.013103 0.479941
0.209933 0.013103 0.482599
0.213211 0.013103 0.485053
0.216488 0.013103 0.487301
0.219766 0.013103 0.489342
0.223043 0.013103 0.491176
0.226321 0.013103 0.492801
0.229599 0.013103 0.494218
0.232876 0.013103 0.495425
0.236154 0.013103 0.496422
0.239431 0.013103 0.497208
0.242709 0.013103 0.497784
0.245987 0.013103 0.498148
0.249264 0.013103 0.498301
0.252542 0.013103 0.498243
0.255819 0.013103 0.497973
0.259097 0.013103 0.497493
0.262375 0.013103 0.496801
0.265652 0.013103 0.495899
0.268930 0.013103 0.494786
0.272207 0.013103 0.493463
0.275485 0.013103 0.491932
0.278763 0.013103 0.490191
0.282040 0.013103 0.488243
0.285318 0.013103 0.486088
0.288595 0.013103 0.483726
0.291873 0.013103 0.481159
0.295151 0.013103 0.478389
0.298428 0.013103 0.475415
0.301706 0.013103 0.472240
0.304983 0.013103 0.468865
0.308261 0.013103 0.465290
0.311538 0.013103 0.461519
0.314816 0.013103 0.457551
0.318094 0.013103 0.453390
0.321371 0.013103 0.449036
0.324649 0.013103 0.444492
0.327926 0.013103 0.439760
0.331204 0.013103 0.434841
0.334482 0.013103 0.429737
0.337759 0.013103 0.424451
0.341037 0.013103 0.418986
0.344314 0.013103 0.413342
0.347592 0.013103 0.407524
0.350870 0.013103 0.401532
0.354147 0.013103 0.395370
0.357425 0.013103 0.389041
0.360702 0.013103 0.382546
0.363980 0.013103 0.375889
0.367258 0.013103 0.369073
0.370535 0.013103 0.362101
0.373813 0.013103 0.354975
0.377090 0.013103 0.347698
0.380368 0.013103 0.340274
0.383645 0.013103 0.332705
0.386923 0.013103 0.324995
0.390201 0.013103 0.317148
0.393478 0.013103 0.309166
0.396756 0.013103 0.301053
0.400033 0.013103 0.292812
0.403311 0.013103 0.284448
0.406589 0.013103 0.275962
0.409866 0.013103 0.267359
0.413144 0.013103 0.258644
0.416421 0.013103 0.249818
0.419699 0.013103 0.240886
0.422977 0.013103 0.231853
0.426254 0.013103 0.222721
0.429532 0.013103 0.213494
0.432809 0.013103 0.204177
0.436087 0.013103 0.194773
0.439365 0.013103 0.185287
0.442642 0.013103 0.175722
0.445920 0.013103 0.166083
0.449197 0.013103 0.156373
0.452475 0.013103 0.146597
0.455753 0.013103 0.136759
0.459030 0.013103 0.126863
0.462308 0.013103 0.116913
0.465585 0.013103 0.106913
0.468863 0.013103 0.096868
0.472140 0.013103 0.086782
0.475418 0.013103 0.076659
0.478696 0.013103 0.066504
0.481973 0.013103 0.056320
0.485251 0.013103 0.046113
0.488528 0.013103 0.035886
0.491806 0.013103 0.025644
0.495084 0.013103 0.015391
0.498361 0.013103 0.005131
0.501639 0.013103 -0.005131
0.504916 0.013103 -0.015391
0.508194 0.013103 -0.025644
0.511472 0.013103 -0.035886
0.514749 0.013103 -0.046113
0.518027 0.013103 -0.056320
0.521304 0.013103 -0.066504
0.524582 0.013103 -0.076659
0.527860 0.013103 -0.086782
0.531137 0.013103 -0.096868
0.534415 0.013103 -0.106913
0.537692 0.013103 -0.116913
0.540970 0.013103 -0.126863
0.544247 0.013103 -0.136759
0.547525 0.013103 -0.146597
0.550803 0.013103 -0.156373
0.554080 0.013103 -0.166083
0.557358 0.013103 -0.175722
0.560635 0.013103 -0.185287
0.563913 0.013103 -0.194773
0.567191 0.013103 -0.204177
0.570468 0.013103 -0.213494
0.573746 0.013103 -0.222721
0.577023 0.013103 -0.231853
0.580301 0.013103 -0.240886
0.583579 0.013103 -0.249818
0.586856 0.013103 -0.258644
0.590134 0.013103 -0.267359
0.593411 0.013103 -0.275962
0.596689 0.013103 -0.284448
0.599967 0.013103 -0.292812
0.603244 0.013103 -0.301053
0.606522 0.013103 -0.309166
0.609799 0.013103 -0.317148
0.613077 0.013103 -0.324995
0.616355 0.013103 -0.332705
0.619632 0.013103 -0.340274
0.622910 0.013103 -0.347698
0.626187 0.013103 -0.354975
0.629465 0.013103 -0.362101
0.632742 0.013103 -0.369073
0.636020 0.013103 -0.375889
0.639298 0.013103 -0.382546
0.642575 0.013103 -0.389041
0.645853 0.013103 -0.395370
0.649130 0.013103 -0.401532
0.652408 0.013103 -0.407524
0.655686 0.013103 -0.413342
0.658963 0.013103 -0.418986
0.662241 0.013103 -0.424451
0.665518 0.013103 -0.429737
0.668796 0.013103 -0.434841
0.672074 0.013103 -0.439760
0.675351 0.013103 -0.444492
0.678629 0.013103 -0.449036
0.681906 0.013103 -0.453390
0.685184 0.013103 -0.457551
0.688462 0.013103 -0.461519
0.691739 0.013103 -0.465290
0.695017 0.013103 -0.468865
0.698294 0.013103 -0.472240
0.701572 0.013103 -0.475415
0.704849 0.013103 -0.478389
0.708127 0.013103 -0.481159
0.711405 0.013103 -0.483726
0.714682 0.013103 -0.486088
0.717960 0.013103 -0.488243
0.721237 0.013103 -0.490191
0.724515 0.013103 -0.491932
0.727793 0.013103 -0.493463
0.731070 0.013103 -0.494786
0.734348 0.013103 -0.495899
0.737625 0.013103 -0.496801
0.740903 0.013103 -0.497493
0.744181 0.013103 -0.497973
0.747458 0.013103 -0.498243
0.750736 0.013103 -0.498301
0.754013 0.013103 -0.498148
0.757291 0.013103 -0.497784
0.760569 0.013103 -0.497208
0.763846 0.013103 -0.496422
0.767124 0.013103 -0.495425
0.770401 0.013103 -0.494218
0.773679 0.013103 -0.492801
0.776957 0.013103 -0.491176
0.780234 0.013103 -0.489342
0.783512 0.013103 -0.487301
0.786789 0.013103 -0.485053
0.790067 0.013103 -0.482599
0.793344 0.013103 -0.479941
0.796622 0.013103 -0.477079
0.799900 0.013103 -0.474014
0.803177 0.013103 -0.470749
0.806455 0.013103 -0.467284
0.809732 0.013103 -0.463621
0.813010 0.013103 -0.459762
0.816288 0.013103 -0.455707
0.819565 0.013103 -0.451459
0.822843 0.013103 -0.447020
0.826120 0.013103 -0.442391
0.829398 0.013103 -0.437574
0.832676 0.013103 -0.432572
0.835953 0.013103 -0.427386
0.839231 0.013103 -0.422020
0.842508 0.013103 -0.416474
0.845786 0.013103 -0.410751
0.849064 0.013103 -0.404855
0.852341 0.013103 -0.398786
0.855619 0.013103 -0.392549
0.858896 0.013103 -0.386145
0.862174 0.013103 -0.379577
0.865452 0.013103 -0.372849
0.868729 0.013103 -0.365962
0.872007 0.013103 -0.358920
0.875284 0.013103 -0.351726
0.878562 0.013103 -0.344383
0.881839 0.013103 -0.336893
0.885117 0.013103 -0.329261
0.888395 0.013103 -0.321489
0.891672 0.013103 -0.313581
0.894950 0.013103 -0.305540
0.898227 0.013103 -0.297369
0.901505 0.013103 -0.289072
0.904783 0.013103 -0.280652
0.908060 0.013103 -0.272114
0.911338 0.013103 -0.263460
0.914615 0.013103 -0.254694
0.917893 0.013103 -0.245821
0.921171 0.013103 -0.236843
0.924448 0.013103 -0.227764
0.927726 0.013103 -0.218590
0.931003 0.013103 -0.209322
0.934281 0.013103 -0.199965
0.937559 0.013103 -0.190524
0.940836 0.013103 -0.181002
0.944114 0.013103 -0.171403
0.947391 0.013103 -0.161732
0.950669 0.013103 -0.151992
0.953946 0.013103 -0.142187
0.957224 0.013103 -0.132323
0.960502 0.013103 -0.122402
0.963779 0.013103 -0.112429
0.967057 0.013103 -0.102408
0.970334 0.013103 -0.092344
0.973612 0.013103 -0.082241
0.976890 0.013103 -0.072103
0.980167 0.013103 -0.061935
0.983445 0.013103 -0.051740
0.986722 0.013103 -0.041523
0.990000 0.013103 -0.031289
0.010000 0.016207 0.031233
0.013278 0.016207 0.041449
0.016555 0.016207 0.051647
0.019833 0.016207 0.061823
0.023110 0.016207 0.071974
0.026388 0.016207 0.082093
0.029666 0.016207 0.092178
0.032943 0.016207 0.102224
0.036221 0.016207 0.112227
0.039498 0.016207 0.122182
0.042776 0.016207 0.132085
0.046054 0.016207 0.141932
0.049331 0.016207 0.151719
0.052609 0.016207 0.161441
0.055886 0.016207 0.171095
0.059164 0.016207 0.180677
0.062441 0.016207 0.190182
0.065719 0.016207 0.199606
0.068997 0.016207 0.208945
0.072274 0.016207 0.218196
0.075552 0.016207 0.227355
0.078829 0.016207 0.236417
0.082107 0.016207 0.245378
0.085385 0.016207 0.254236
0.088662 0.016207 0.262986
0.091940 0.016207 0.271624
0.095217 0.016207 0.280147
0.098495 0.016207 0.288552
0.101773 0.016207 0.296834
0.105050 0.016207 0.304990
0.108328 0.016207 0.313017
0.111605 0.016207 0.320911
0.114883 0.016207 0.328669
0.118161 0.016207 0.336287
0.121438 0.016207 0.343763
0.124716 0.016207 0.351093
0.127993 0.016207 0.358274
0.131271 0.016207 0.365304
0.134548 0.016207 0.372178
0.137826 0.016207 0.378894
0.141104 0.016207 0.385450
0.144381 0.016207 0.391843
0.147659 0.016207 0.398069
0.150936 0.016207 0.404126
0.154214 0.016207 0.410012
0.157492 0.016207 0.415724
0.160769 0.016207 0.421260
0.164047 0.016207 0.426617
0.167324 0.016207 0.431794
0.170602 0.016207 0.436787
0.173880 0.016207 0.441595
0.177157 0.016207 0.446215
0.180435 0.016207 0.450647
0.183712 0.016207 0.454887
0.186990 0.016207 0.458934
0.190268 0.016207 0.462787
0.193545 0.016207 0.466444
0.196823 0.016207 0.469902
0.200100 0.016207 0.473162
0.203378 0.016207 0.476220
0.206656 0.016207 0.479077
0.209933 0.016207 0.481731
0.213211 0.016207 0.484180
0.216488 0.016207 0.486424
0.219766 0.016207 0.488462
0.223043 0.016207 0.490292
0.226321 0.016207 0.491915
0.229599 0.016207 0.493329
0.232876 0.016207 0.494534
0.236154 0.016207 0.495529
0.239431 0.016207 0.496314
0.242709 0.016207 0.496888
0.245987 0.016207 0.497252
0.249264 0.016207 0.497405
0.252542 0.016207 0.497346
0.255819 0.016207 0.497077
0.259097 0.016207 0.496598
0.262375 0.016207 0.495907
0.265652 0.016207 0.495006
0.268930 0.016207 0.493896
0.272207 0.016207 0.492576
0.275485 0.016207 0.491047
0.278763 0.016207 0.489309
0.282040 0.016207 0.487364
0.285318 0.016207 0.485213
